"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","5","587-4893-1-ND","GMK212BBJ106KG-T","CAP CER 10UF 35V X5R 0805","C2","0","4,24000","21,20"
"2","5","587-3364-1-ND","GMK212BJ104KGHT","CAP CER 0.1UF 35V X5R 0805","C3","0","1,12000","5,60"
"3","10","1276-2412-1-ND","CL21A226MQCLQNC","CAP CER 22UF 6.3V X5R 0805","C5,6","0","1,20000","12,00"
"4","30","1655-1506-1-ND","S1MTR","DIODE GEN PURP 1KV 1A SMA","D1,3,5,7,9,11","0","0,90880","27,26"
"5","40","BZX384C4V7-E3-08GICT-ND","BZX384C4V7-E3-08","DIODE ZENER 4.7V 200MW SOD323","D13,14,15,16,17,18,19,20","0","1,33440","53,38"
"6","30","L62301CT-ND","CMD15-21VRD/TR8","LED RED DIFFUSED 1206 SMD","D2,4,6,8,10,12","0","2,21760","66,53"
"7","15","L62305CT-ND","CMD15-21VGD/TR8","LED GREEN DIFFUSED 1206 SMD","D21,22,23","0","2,72000","40,80"
"8","5","587-2973-1-ND","NRS8040T150MJGJ","FIXED IND 15UH 2.4A 65 MOHM SMD","L1","0","4,08000","20,40"
"9","5","1195-3666-1-ND","14011213102000","TERM BLK SIDE ENTRY 12POS 2.54MM","P1","0","29,92000","149,60"
"10","5","1195-3662-1-ND","14010813102000","TERM BLK SIDE ENTRY 8POS 2.54MM","P2","0","16,88000","84,40"
"11","5","S6104-ND","PPTC202LFBN-RC","CONN HEADER FEM 40POS .1"" DL TIN","P3","0","18,32000","91,60"
"12","30","DMN2041L-7DICT-ND","DMN2041L-7","MOSFET N-CH 20V 6.4A SOT23","Q1,2,3,4,5,6","0","2,73600","82,08"
"13","30","1276-3970-1-ND","RC1005F271CS","RES SMD 270 OHM 1% 1/16W 0402","R2,4,6,8,10,12","0","0,11200","3,36"
"14","15","1276-3473-1-ND","RC1005F561CS","RES SMD 560 OHM 1% 1/16W 0402","R23,27,28","0","0,11200","1,68"
"15","5","296-44151-1-ND","TPS54202DDCT","IC REG BUCK ADJ 2A SYNC SOT23-6","U1","0","16,32000","81,60"
"16","5","296-22055-1-ND","TMP102AIDRLT","SENSOR TEMPERATURE SMBUS SOT563","U2","0","16,88000","84,40"
"17","10","1276-2450-1-ND","CL21B104MBCNNNC","CAP CER 0.1UF 50V X7R 0805","C1","0","0,16000","1,60"
"18","10","490-5951-1-ND","GRM1555C1H750JA01D","CAP CER 75PF 50V C0G/NP0 0402","C4","0","0,43200","4,32"
"19","100","RMCF0402FT10K0CT-ND","RMCF0402FT10K0","RES SMD 10K OHM 1% 1/16W 0402","R1,3,5,7,9,11,13,14,15,16,17,18,19,20,24,25,26","0","0,05440","5,44"
"20","10","311-100KLRCT-ND","RC0402FR-07100KL","RES SMD 100K OHM 1% 1/16W 0402","R21","0","0,12000","1,20"
"21","10","YAG2974CT-ND","RC0402FR-0713K3L","RES SMD 13.3K OHM 1% 1/16W 0402","R22","0","0,11200","1,12"
"22","3","696-1369-1-ND","CSR1206-0R001F1","RES 0.001 OHM 1% 1W 1206","","0","4,72000","14,16"
