Digi-Key Part Number,Customer Reference,Quantity,MPN
1276-2450-1-ND,C1,1,CL21B104MBCNNNC
587-4893-1-ND,C2,1,GMK212BBJ106KG-T
587-3364-1-ND,C3,1,GMK212BJ104KGHT
490-5951-1-ND,C4,1,GRM1555C1H750JA01D
1276-2412-1-ND,"C5,6",2,CL21A226MQCLQNC
1655-1506-1-ND,"D1,3,5,7,9,11",6,S1MTR
BZX384C4V7-E3-08GICT-ND,"D13,14,15,16,17,18,19,20",8,BZX384C4V7-E3-08
L62301CT-ND,"D2,4,6,8,10,12",6,CMD15-21VRD/TR8
L62305CT-ND,"D21,22,23",3,CMD15-21VGD/TR8
587-2973-1-ND,L1,1,NRS8040T150MJGJ
1195-3666-1-ND,P1,1,14011213102000
1195-3662-1-ND,P2,1,14010813102000
S6104-ND,P3,1,PPTC202LFBN-RC
DMN2041L-7DICT-ND,"Q1,2,3,4,5,6",6,DMN2041L-7
RMCF0402FT10K0CT-ND,"R1,3,5,7,9,11,13,14,15,16,17,18,19,20,24,25,26",17,RMCF0402FT10K0
1276-3970-1-ND,"R2,4,6,8,10,12",6,RC1005F271CS
311-100KLRCT-ND,R21,1,RC0402FR-07100KL
YAG2974CT-ND,R22,1,RC0402FR-0713K3L
1276-3473-1-ND,"R23,27,28",3,RC1005F561CS
296-44151-1-ND,U1,1,TPS54202DDCT
296-22055-1-ND,U2,1,TMP102AIDRLT
