kicad,common
Capacitors_SMD:C_0402,0402
Capacitors_SMD:C_0402_NoSilk,0402
Capacitors_SMD:C_0603,0603
Capacitors_SMD:C_0603_NoSilk,0603
Capacitors_SMD:C_0805,0805
Capacitors_SMD:C_0805_NoSilk,0805
Diodes_SMD:D_SMA_Handsoldering,SMA
Resistors_SMD:R_0402,0402
Resistors_SMD:R_0402_NoSilk,0402
Resistors_SMD:R_0805,0805
TO_SOT_Packages_SMD:SOT-223,TO-261-4
TO_SOT_Packages_SMD:SOT-23-6_Handsoldering,SOT-23-6
TO_SOT_Packages_SMD:SOT-23,SOT-23

IPC7351-Nominal:CAPC1005X70,0402
IPC7351-Nominal:CAPC1310X70,0504
IPC7351-Nominal:CAPC1608X70,0603
IPC7351-Nominal:CAPC2012X70,0805
IPC7351-Nominal:CAPC3216X70,1206
IPC7351-Nominal:CAPC3225X70,1210
IPC7351-Nominal:CAPC4532X70,1812
IPC7351-Nominal:CAPC4564X70,1825

IPC7351-Nominal:LEDC1005X110,0402
IPC7351-Nominal:LEDC1310X110,0504
IPC7351-Nominal:LEDC1608X110,0603
IPC7351-Nominal:LEDC2012X110,0805
IPC7351-Nominal:LEDC3216X110,1206
IPC7351-Nominal:LEDC3225X110,1210
IPC7351-Nominal:LEDC4532X110,1812
IPC7351-Nominal:LEDC4564X110,1825

IPC7351-Nominal:RESC1005X38,0402
IPC7351-Nominal:RESC1310X51,0504
IPC7351-Nominal:RESC1608X63,0603
IPC7351-Nominal:RESC2012X50,0805
IPC7351-Nominal:RESC3216X60,1206
IPC7351-Nominal:RESC3225X60,1210
IPC7351-Nominal:RESC4532X70,1812
IPC7351-Nominal:RESC4564X110,1825
