Reference, Value, Footprint, Datasheet, assembly, mpn, digikey, color, ds_Vf, req_I, req_Vf, req_Vin, role, ds_Vin, req_voltage, ta_value, ta_ref, voltage, Iout, Vout, ta
"H1","M2.5","Mounting_Holes:MountingHole_2.5mm","","footprint only","","","","","","","","","","","","","","","",""
"H2","M2.5","Mounting_Holes:MountingHole_2.5mm","","footprint only","","","","","","","","","","","","","","","",""
"H3","M2.5","Mounting_Holes:MountingHole_2.5mm","","footprint only","","","","","","","","","","","","","","","",""
"H4","M2.5","Mounting_Holes:MountingHole_2.5mm","","footprint only","","","","","","","","","","","","","","","",""
"Q2","DMN2041L-7","TO_SOT_Packages_SMD:SOT-23","","","DMN2041L-7","","","","","","","","","","","","","","",""
"R3","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D3","S1MTR","Diodes_SMD:D_SMA","http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf","","S1MTR","1655-1506-1-ND","","","","","","","","","","","","","",""
"D13","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R13","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"P2","INPUTS","Bitraf:har-flexicon_2,54_TSPH-08_T56_BK","","","14010813102000","","","","","","","","","","","","","","",""
"J1","POWER","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","","footprint only","","","","","","","","","","","","","","","",""
"J2","SERIAL","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","","footprint only","","","","","","","","","","","","","","","",""
"D21","POWER","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VGD/TR8","","Green","2.1 V","5 mA","2.0 V","5V","LED","","","","","","","",""
"R23","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"D4","LED","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VRD/TR8","","Red","2.0 V","5 mA","1.9V","3.3 V","LED","","","","","","","",""
"R4","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"Q1","DMN2041L-7","TO_SOT_Packages_SMD:SOT-23","","","DMN2041L-7","","","","","","","","","","","","","","",""
"R1","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D1","S1MTR","Diodes_SMD:D_SMA","http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf","","S1MTR","1655-1506-1-ND","","","","","","","","","","","","","",""
"D2","LED","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VRD/TR8","","Red","2.0 V","5 mA","1.9V","3.3 V","LED","","","","","","","",""
"R2","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"D23","STATUS_2","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VGD/TR8","","Green","2.1 V","5 mA","2.0 V","5V","LED","","","","","","","",""
"R28","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"D22","STATUS_1","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VGD/TR8","","Green","2.1 V","5 mA","2.0 V","5V","LED","","","","","","","",""
"R27","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"D14","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R14","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D15","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R15","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D16","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R16","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D17","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R17","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"Q3","DMN2041L-7","TO_SOT_Packages_SMD:SOT-23","","","DMN2041L-7","","","","","","","","","","","","","","",""
"R5","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D5","S1MTR","Diodes_SMD:D_SMA","http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf","","S1MTR","1655-1506-1-ND","","","","","","","","","","","","","",""
"D6","LED","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VRD/TR8","","Red","2.0 V","5 mA","1.9V","3.3 V","LED","","","","","","","",""
"R6","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"Q4","DMN2041L-7","TO_SOT_Packages_SMD:SOT-23","","","DMN2041L-7","","","","","","","","","","","","","","",""
"R7","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D7","S1MTR","Diodes_SMD:D_SMA","http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf","","S1MTR","1655-1506-1-ND","","","","","","","","","","","","","",""
"D8","LED","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VRD/TR8","","Red","2.0 V","5 mA","1.9V","3.3 V","LED","","","","","","","",""
"R8","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"U2","TMP102","Bitraf:SOT-563","","","TMP102AIDRLT","","","","","","","","1.4 - 3.6 V","","","","","","",""
"R24","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"R25","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"R26","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"Q5","DMN2041L-7","TO_SOT_Packages_SMD:SOT-23","","","DMN2041L-7","","","","","","","","","","","","","","",""
"R9","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D9","S1MTR","Diodes_SMD:D_SMA","http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf","","S1MTR","1655-1506-1-ND","","","","","","","","","","","","","",""
"D10","LED","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VRD/TR8","","Red","2.0 V","5 mA","1.9V","3.3 V","LED","","","","","","","",""
"R10","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"D18","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R18","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D19","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R19","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D20","BZX384C3V3","Diode_SMD:D_SOD-323","","","BZX384C3V3-E3-08","","","","","","","","","","","","","","",""
"R20","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"Q6","DMN2041L-7","TO_SOT_Packages_SMD:SOT-23","","","DMN2041L-7","","","","","","","","","","","","","","",""
"R11","10k","IPC7351-Nominal:RESC1005X38","","","RMCF0402FT10K0","","","","","","","","","","","","","","",""
"D11","S1MTR","Diodes_SMD:D_SMA","http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf","","S1MTR","1655-1506-1-ND","","","","","","","","","","","","","",""
"D12","LED","IPC7351-Nominal:LEDC3216X110","","","CMD15-21VRD/TR8","","Red","2.0 V","5 mA","1.9V","3.3 V","LED","","","","","","","",""
"R12","270","IPC7351-Nominal:RESC1005X38","","","RC1005F271CS","","","","","","","","","","","","","","",""
"C3","0.1u","IPC7351-Nominal:CAPC2012X70","","","CL21B104KBFNNNG","","","","","","","","","35V","0.1u","","","","",""
"C5","22u","IPC7351-Nominal:CAPC2012X70","","","GRM21BR61A226ME51L","","","","","","","","","","","C4","10V","","",""
"C2","10u","IPC7351-Nominal:CAPC2012X70","","","GMK212BBJ106KG-T","","","","","","","","","35V","","C1","","","",""
"C6","22u","IPC7351-Nominal:CAPC2012X70","","","GRM21BR61A226ME51L","","","","","","","","","","","C5","10V","","",""
"P4","12V","Bitraf:har-flexicon_2,54_TSPH-02_T56_BK","","","14010213102000","","","","","","","","","","","","","","",""
"U1","TPS54202","TO_SOT_Packages_SMD:SOT-23-6_Handsoldering","http://www.ti.com/lit/ds/symlink/tps54202.pdf","","TPS54202DDCT","","","","","","","","","","","","","2A","5V","Figure 16. 5-V, 2-A Reference Design"
"R21","100k","IPC7351-Nominal:RESC1005X38","","","CRCW0402100KFKED","","","","","","","","","","","R2","","","",""
"C1","0.1u","IPC7351-Nominal:CAPC2012X70","","","CL21B104KBFNNNG","","","","","","","","","","","C3","10V","","",""
"L1","15u","Inductors_SMD:L_Taiyo-Yuden_NR-80xx","","","NRS8040T150MJGJ","","","","","","","","","","","L1","","","",""
"R22","13.3k","IPC7351-Nominal:RESC1005X38","","","RC0402FR-0713K3L","","","","","","","","","","","R3","","","",""
"C4","75p","IPC7351-Nominal:CAPC1005X55","","","GRM1555C1H750JA01D","","","","","","","","","","","C6","10V","","",""
