Digi-Key Part Number,Customer Reference,Quantity,MPN
1195-3656-1-ND,P4,100,14010213102000
1195-3662-1-ND,P2,100,14010813102000
1195-3666-1-ND,P1,100,14011213102000
BZX384C3V3-E3-08GICT-ND,"D13,D17,D16,D20,D19,D14,D18,D15",800,BZX384C3V3-E3-08
1276-6468-1-ND,"C1,C3",200,CL21B104KBFNNNG
L62305CT-ND,"D23,D21,D22",300,CMD15-21VGD/TR8
L62301CT-ND,"D10,D8,D12,D2,D6,D4",600,CMD15-21VRD/TR8
541-100KLCT-ND,R21,100,CRCW0402100KFKED
DMN2041L-7DICT-ND,"Q6,Q1,Q5,Q2,Q3,Q4",600,DMN2041L-7
DMP3056L-7DICT-ND,Q7,100,DMP3056L-7
587-4893-1-ND,C2,100,GMK212BBJ106KG-T
490-5951-1-ND,C4,100,GRM1555C1H750JA01D
490-10511-1-ND,"C6,C5",200,GRM21BR61A226ME51L
587-2973-1-ND,L1,100,NRS8040T150MJGJ
S6104-ND,P3,100,PPTC202LFBN-RC
YAG2974CT-ND,R22,100,RC0402FR-0713K3L
1276-3970-1-ND,"R12,R4,R23,R10,R2,R6,R28,R8,R27",900,RC1005F271CS
RMCF0402FT10K0CT-ND,"R24,R18,R25,R9,R7,R19,R26,R20,R13,R14,R1,R17,R11,R15,R5,R16,R3",1700,RMCF0402FT10K0
296-22055-1-ND,U2,100,TMP102AIDRLT
296-44151-1-ND,U1,100,TPS54202DDCT
