stock,Item,Quantity,OrderNo,Notes
,dlock board,1,self-fabricated PCB,
,base-board,1,self-fabricated lasercut,
,hex standoffs M2.5 10mm OD4.5,6,Mouser 534-24331,Wurth rack at Bitraf has 11mm long brass standoffs
,hex nut M2.5,4,TORP Fasteners,stock in Wurth rack at Bitraf
,machine screw M2.5x8,4,TORP Fasteners,stock in Wurth rack at Bitraf
,woodscrew ??,4,clas ohlson,for baseboard
,woodscrew 2.5x16mm,4,clas ohlson 40-9566-2,for screw terminal and box lid
,screw terminal,1, kjell ???????,
,relay 24V 1NONC,1,for equipment requiring potential free,
,,,,
,Raspberry Pi3,1,1690-1000-ND,Single Board Computer
20,Box ABS gray,1,SRW094-WG-ND,enclosure
20,"Power Supply 24V, 1 A+, EU plug",1,1470-3162-ND,PSU
20,memory card microSDHC 8GB MLC,1,1052-1252-ND,memory card
